model,window,segment,bank_id,forecast_origin,target_period,nco_rate,prediction,error,absolute_error,squared_error,squared_error_share,data_audit_status,data_audit_reason,mapping_id
ar,3,CRE,233031,2021-02-14,2021-03-31,0.004829373956890736,0.00037418012758407416,0.004455193829306661,0.004455193829306661,1.984875205669215e-05,0.00930319121946861,PRESENT,complete_required_component_set,CRE_31_consolidated_bank
ar,3,CRE,1842065,2020-08-14,2020-09-30,0.0003963221223259123,0.004805701330786135,-0.004409379208460223,0.004409379208460223,1.94426250040013e-05,0.009112837809854212,PRESENT,complete_required_component_set,CRE_041_successor_secured_re
ar,3,CRE,197478,2021-08-14,2021-09-30,0.004044089790179738,-7.465246520066177e-05,0.0041187422553804,0.0041187422553804,1.6964037766256023e-05,0.007951113840457134,PRESENT,complete_required_component_set,CRE_31_consolidated_bank
ar,4,CI,940311,2023-08-14,2023-09-30,-0.01228878648233487,0.010331019726394476,-0.022619806208729346,0.022619806208729346,0.0005116556329204707,0.047242881310595584,PRESENT,complete_required_component_set,CI_31_consolidated_bank
ar,4,CI,962966,2023-11-14,2023-12-31,0.020945633759433237,0.0031064989275352015,0.017839134831898036,0.017839134831898036,0.00031823473155063775,0.0293836805152361,PRESENT,complete_required_component_set,CI_41_domestic_only_bank
ar,4,CI,1842065,2025-11-14,2025-12-31,0.02056702172765241,0.0027463304288873848,0.017820691298765023,0.017820691298765023,0.0003175770383658794,0.02932295349677453,PRESENT,complete_required_component_set,CI_41_domestic_only_bank
ar,4,CI,379920,2023-08-14,2023-09-30,0.020201685882206548,0.003236620923997847,0.016965064958208702,0.016965064958208702,0.0002878134290362408,0.02657477958357223,PRESENT,complete_required_component_set,CI_41_domestic_only_bank
ar,4,CI,962966,2025-02-14,2025-03-31,0.02474555976850928,0.007818950580306013,0.016926609188203268,0.016926609188203268,0.0002865100986101673,0.026454438712357684,PRESENT,complete_required_component_set,CI_41_domestic_only_bank
ar,4,CI,962966,2024-11-14,2024-12-31,0.019201228878648235,0.002405066567840345,0.01679616231080789,0.01679616231080789,0.00028211106837100345,0.02604826149061127,PRESENT,complete_required_component_set,CI_41_domestic_only_bank
ar,4,CI,962966,2024-02-14,2024-03-31,0.02399870277282309,0.008292557467752888,0.015706145305070203,0.015706145305070203,0.0002466830003439788,0.02277706910030959,PRESENT,complete_required_component_set,CI_41_domestic_only_bank
ar,4,CI,197478,2024-11-14,2024-12-31,0.02291128498936881,0.007660315996164527,0.015250968993204283,0.015250968993204283,0.00023259205523167847,0.021476004859709324,PRESENT,complete_required_component_set,CI_31_consolidated_bank
ar,4,CI,1929247,2025-08-14,2025-09-30,0.018960828056435196,0.003816461776527132,0.015144366279908065,0.015144366279908065,0.00022935183002001643,0.021176823994211176,PRESENT,complete_required_component_set,CI_41_domestic_only_bank
ar,4,CI,485559,2023-08-14,2023-09-30,0.020289514236560068,0.006128403888657206,0.014161110347902862,0.014161110347902862,0.00020053704628548153,0.01851625833173423,PRESENT,complete_required_component_set,CI_41_domestic_only_bank
ar,4,CI,940311,2023-05-15,2023-06-30,-0.0026096884684390803,0.011400289737240546,-0.014009978205679625,0.014009978205679625,0.0001962794893236181,0.01812314381235655,PRESENT,complete_required_component_set,CI_31_consolidated_bank
ar,4,CI,940311,2022-05-15,2022-06-30,-0.0030092157231521536,0.010618293941075344,-0.013627509664227497,0.013627509664227497,0.00018570901964861384,0.017147136880891582,PRESENT,complete_required_component_set,CI_31_consolidated_bank
ar,4,CI,940311,2025-02-14,2025-03-31,-0.002100288789708585,0.011327310516503805,-0.01342759930621239,0.01342759930621239,0.00018030042312819548,0.016647743017068447,PRESENT,complete_required_component_set,CI_31_consolidated_bank
ar,4,CI,940311,2022-11-14,2022-12-31,-0.0013843225471534867,0.011437500360102808,-0.012821822907256294,0.012821822907256294,0.00016439914266504226,0.015179524439429909,PRESENT,complete_required_component_set,CI_31_consolidated_bank
ar,4,CI,940311,2022-02-14,2022-03-31,-0.0015515903801396431,0.01103955158522947,-0.012591141965369115,0.012591141965369115,0.00015853685599207922,0.014638239841586876,PRESENT,complete_required_component_set,CI_31_consolidated_bank
ar,4,CI,197478,2025-02-14,2025-03-31,-0.0003878953013816405,0.01202594006698741,-0.01241383536836905,0.01241383536836905,0.00015410330855297036,0.014228875530956349,PRESENT,complete_required_component_set,CI_31_consolidated_bank
ar,4,CI,940311,2024-02-14,2024-03-31,0.0,0.011659327420087132,-0.011659327420087132,0.011659327420087132,0.00013593991588879567,0.012551788543887596,PRESENT,complete_required_component_set,CI_31_consolidated_bank
ar,4,CI,606046,2023-08-14,2023-09-30,0.01592603111535812,0.004267693992232051,0.011658337123126068,0.011658337123126068,0.0001359168244764594,0.012549656436309557,PRESENT,complete_required_component_set,CI_41_domestic_only_bank
