window,segment,model,train_start,train_end,test_start,test_end,n,rmse,mae,oos_r2,bias,rmse_improvement_vs_ar,result_layer,weighting,r2_vs_test_mean,weighted_sse,sse_improvement_vs_ar,common_scoring_keys_verified,target_definition_comparable_to_valid_corrected
2,CRE,dynamic_fe,2005-01-01,2016-12-31,2017-01-01,2019-12-31,324,0.003939884055584498,0.002245226717909686,,-0.0007879155031988136,,VALID_CORRECTED,equal_observation,-0.5500258228445849,1.5522686371448953e-05,-0.15376842657708245,True,True
2,CI,ar,2005-01-01,2016-12-31,2017-01-01,2019-12-31,312,0.005383340697940381,0.003877055169878961,,-0.0024243445030452436,,VALID_CORRECTED,equal_observation,-0.6148258762655501,2.8980357070101233e-05,0.0,True,True
2,CI,dynamic_fe,2005-01-01,2016-12-31,2017-01-01,2019-12-31,312,0.007776986785077818,0.005689835412510899,,0.004970037351192693,,VALID_CORRECTED,equal_observation,-2.3701147599834846,6.0481523455275015e-05,-1.0869833766704429,True,True
3,CRE,ar,2005-01-01,2019-12-31,2020-01-01,2021-12-31,237,0.003000381344949263,0.0017884645275511178,,-0.0006197460363674637,,VALID_CORRECTED,equal_observation,-0.46358026436523714,9.002288215119549e-06,0.0,True,True
3,CRE,dynamic_fe,2005-01-01,2019-12-31,2020-01-01,2021-12-31,237,0.003095801035043081,0.001936788793894722,,-0.0003423375350354974,,VALID_CORRECTED,equal_observation,-0.5581516134892597,9.58398404857381e-06,-0.0646164419038806,True,True
3,CI,ar,2005-01-01,2019-12-31,2020-01-01,2021-12-31,231,0.005008692429525647,0.0037726287839153325,,-0.0019664194378635276,,VALID_CORRECTED,equal_observation,-0.294976302737294,2.5086999853587528e-05,0.0,True,True
3,CI,dynamic_fe,2005-01-01,2019-12-31,2020-01-01,2021-12-31,231,0.0056992989399599365,0.0041385200298430565,,0.0004014367236057022,,VALID_CORRECTED,equal_observation,-0.6767023318015526,3.2482008407028456e-05,-0.29477452850478714,True,True
4,CRE,ar,2005-01-01,2021-12-31,2022-01-01,2025-12-31,443,0.004076179306161539,0.0019986266399658007,,0.00019568299887097584,,VALID_CORRECTED,equal_observation,-0.07940032912611716,1.6615237735979566e-05,0.0,True,True
4,CRE,dynamic_fe,2005-01-01,2021-12-31,2022-01-01,2025-12-31,443,0.004223546443159508,0.0026908877427623138,,-0.0006541678143450947,,VALID_CORRECTED,equal_observation,-0.15885883141850488,1.7838344557525335e-05,-0.07361356129724128,True,True
4,CI,ar,2005-01-01,2021-12-31,2022-01-01,2025-12-31,458,0.004862817291585026,0.0035793996853007897,,-0.0011756328157913722,,VALID_CORRECTED,equal_observation,-0.06260788375745796,2.3646992011338333e-05,0.0,True,True
4,CI,dynamic_fe,2005-01-01,2021-12-31,2022-01-01,2025-12-31,458,0.004827971613169397,0.003452514995072418,,0.00038669120922822284,,VALID_CORRECTED,equal_observation,-0.047433705319769315,2.3309309897569503e-05,0.014280129735186442,True,True
