source_url,download_timestamp,file_name,sha256,report_period,version,size_bytes
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:05:52.723932+00:00,FFIEC CDR Call Bulk All Schedules 09302018.zip,7633cd6d77b305c9893e846c478a5f373581d6ea8b78711798932a0f1436d5ea,2018-09-30,1,7579959
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:05:54.941100+00:00,FFIEC CDR Call Bulk All Schedules 12312018.zip,9af3e38c41cbf383699b3eb449a58611cd78ec35cfb04a44dc5d968323fb2ab3,2018-12-31,1,7915522
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:05:57.004755+00:00,FFIEC CDR Call Bulk All Schedules 03312019.zip,644e558a2cb9798e8f5d0b463c40a9cdcea7d982713ec835c378de0a66fd6a76,2019-03-31,1,7340120
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:05:59.118169+00:00,FFIEC CDR Call Bulk All Schedules 06302019.zip,a94bcb5a036428bdc4a85563481c905c8b61ede006de937174c4e7962cbd148d,2019-06-30,1,7523107
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:06:01.123465+00:00,FFIEC CDR Call Bulk All Schedules 09302019.zip,0117dc4acd70b1c97f7082ff0daf85b5386a41bd5cb578786dad6de5a601afcf,2019-09-30,1,6715923
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:06:03.151341+00:00,FFIEC CDR Call Bulk All Schedules 12312019.zip,76759cc9ecd6570e9cdc11abaa1982af1a982b215e4674256a920cf426bef433,2019-12-31,1,7651046
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:06:04.934377+00:00,FFIEC CDR Call Bulk All Schedules 03312020.zip,8adeb627e825855250f7f0299e39301feec3a60f38eb1fbc8a74c7b3aede10dc,2020-03-31,1,6358272
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:00:40.470067+00:00,FFIEC CDR Call Bulk All Schedules 06302020.zip,89ad4acaddea1385590c0fd4c6cba8bcda25383d455782518bb5dc547e91f218,2020-06-30,1,7011260
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:06:06.732066+00:00,FFIEC CDR Call Bulk All Schedules 09302020.zip,357474e433fb8cd672e09312b850beeaa041da11ed64809eddb56c878456d659,2020-09-30,1,6410868
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:06:08.750395+00:00,FFIEC CDR Call Bulk All Schedules 12312020.zip,4b4228ca49d1a6e92210cbbc2d6eab43ff447a7201726c1a905967072096e061,2020-12-31,1,7200596
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:06:10.493784+00:00,FFIEC CDR Call Bulk All Schedules 03312021.zip,92bc2920c195dfb1ad0f3e6014d7aca9c82c01184fa1da83b69643dabd150ce1,2021-03-31,1,6226567
https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,2026-09-02T04:06:12.409064+00:00,FFIEC CDR Call Bulk All Schedules 06302021.zip,25bb18d12d55115ca0a857f3ff76c33b379be5186023f9cf01319e3984769e93,2021-06-30,1,6825630
