bank_id,report_date,total_loans,total_charge_off,total_recovery,tier1_capital,risk_weighted_assets,tier1_ratio,computed_tier1_ratio,equity_capital,equity_to_assets_ratio,total_assets,mapped_exposure,mapped_charge_off,mapped_recovery,mapped_nco,mapped_segment_count,exception_type,total_charge_off_reclass_flag,total_recovery_reclass_flag,mapped_charge_off_reclass_flag,mapped_recovery_reclass_flag,flow_reclass_flag,covered_share_of_total_loans,reported_total_nco,mapped_minus_reported_nco,charge_off_subset_difference,recovery_subset_difference,nco_reconciliation_tolerance_thousands,charge_off_ytd_reclass_causally_explains,recovery_ytd_reclass_causally_explains,nco_reconciliation_status,capital_ratio_difference_basis_points,capital_reconciliation_tolerance_basis_points,capital_reconciliation_status
276579,2008-06-30,14963470.0,24585.0,1838.0,1138405.0,16795039.0,0.0678,0.06778221830863268,1075619.0,0.0532608155277194,20195316.0,2995457.0,20303.0,871.0,19432.0,3,,0,0,0,0,0,0.20018464968352928,22747.0,-3315.0,-4282.0,-967.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,-0.17781691367318997,1.0,PASS_WITHIN_TOLERANCE
276579,2008-09-30,14746673.0,20674.0,1893.0,1160341.0,16411270.0,0.0707,0.07070391261614732,1073938.0,0.056167130394761615,19120400.0,2838299.0,16354.0,1082.0,15272.0,3,,0,0,0,0,0,0.19247046435490908,18781.0,-3509.0,-4320.0,-811.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,0.03912616147322412,1.0,PASS_WITHIN_TOLERANCE
276579,2008-12-31,14734489.0,29125.0,2353.0,1419536.0,17034547.0,0.0833,0.0833327707511095,1294399.0,0.06229580829354978,20778268.0,2861067.0,23555.0,1596.0,21959.0,3,,0,0,0,0,0,0.19417483700995672,26772.0,-4813.0,-5570.0,-757.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,0.32770751109495455,1.0,PASS_WITHIN_TOLERANCE
276579,2009-03-31,14544364.0,43319.0,1116.0,1448368.0,18699838.0,0.0775,0.07745350521218419,1243372.0,0.05875160656233462,21163200.0,2753643.0,36259.0,286.0,35973.0,3,,0,0,0,0,0,0.1893271510531502,42203.0,-6230.0,-7060.0,-830.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,-0.4649478781580674,1.0,PASS_WITHIN_TOLERANCE
276579,2009-06-30,14457040.0,97973.0,1720.0,1596708.0,18876537.0,0.0846,0.08458691337293488,1437099.0,0.07717424669269109,18621484.0,2597090.0,79397.0,885.0,78512.0,3,,0,0,0,0,0,0.17964189073281944,96253.0,-17741.0,-18576.0,-835.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,-0.1308662706511754,1.0,PASS_WITHIN_TOLERANCE
276579,2009-09-30,14395434.0,73133.0,2460.0,1790577.0,18222664.0,0.0983,0.09826098972137115,1668569.0,0.09049048587612292,18439165.0,2544039.0,62514.0,1510.0,61004.0,3,,0,0,0,0,0,0.17672541168262104,70673.0,-9669.0,-10619.0,-950.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,-0.39010278628848205,1.0,PASS_WITHIN_TOLERANCE
276579,2009-12-31,14046138.0,88602.0,42625.0,1814128.0,17903823.0,0.1013,0.10132629215559158,1741611.0,0.09751346162707708,17860211.0,2476342.0,79795.0,41208.0,38587.0,3,,0,0,0,0,0,0.17630056033907684,45977.0,-7390.0,-8807.0,-1417.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,0.2629215559157849,1.0,PASS_WITHIN_TOLERANCE
276579,2010-03-31,13687068.0,62971.0,3025.0,1766169.0,15746854.0,0.1122,0.11216011782416983,1745468.0,0.1015063988585482,17195645.0,2384295.0,53293.0,2012.0,51281.0,3,,0,0,0,0,0,0.1742005665493881,59946.0,-8665.0,-9678.0,-1013.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,-0.3988217583016096,1.0,PASS_WITHIN_TOLERANCE
276579,2010-06-30,13534461.0,78976.0,6570.0,1714538.0,15423135.0,0.1112,0.11116663376155367,1760009.0,0.1035945476113986,16989398.0,2367533.0,71993.0,5620.0,66373.0,3,,0,0,0,0,0,0.1749262863146157,72406.0,-6033.0,-6983.0,-950.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,-0.33366238446325136,1.0,PASS_WITHIN_TOLERANCE
276579,2010-09-30,13341399.0,100874.0,7692.0,1730962.0,15674598.0,0.1104,0.11043102987393999,1750976.0,0.10243665089690046,17093257.0,2307173.0,90911.0,5053.0,85858.0,3,,0,0,0,0,0,0.1729333632852147,93182.0,-7324.0,-9963.0,-2639.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,0.3102987393999168,1.0,PASS_WITHIN_TOLERANCE
276579,2010-12-31,12971567.0,103823.0,7525.0,1784700.0,15312146.0,0.1166,0.11655453128516408,1749072.0,0.108180743840956,16168053.0,2215405.0,91940.0,6514.0,85426.0,3,,0,0,0,0,0,0.17078931173080322,96298.0,-10872.0,-11883.0,-1011.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,-0.4546871483591952,1.0,PASS_WITHIN_TOLERANCE
276579,2011-03-31,12867390.0,55902.0,6638.0,1840465.0,14942642.0,0.1232,0.12316864715088537,1735678.0,0.1081965555569893,16041897.0,2189705.0,49823.0,5794.0,44029.0,3,,0,0,0,0,0,0.1701747596054833,49264.0,-5235.0,-6079.0,-844.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,-0.3135284911463809,1.0,PASS_WITHIN_TOLERANCE
276579,2011-06-30,12819369.0,53174.0,5631.0,1885846.0,14777383.0,0.1276,0.12761704829603457,1804684.0,0.11042519246412205,16343046.0,2288599.0,48040.0,4553.0,43487.0,3,,0,0,0,0,0,0.17852664979064103,47543.0,-4056.0,-5134.0,-1078.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,0.1704829603457747,1.0,PASS_WITHIN_TOLERANCE
276579,2011-09-30,12762425.0,48382.0,7451.0,1926677.0,14726107.0,0.1308,0.13083410299816509,1829231.0,0.11311014801336201,16172121.0,2275073.0,43984.0,6151.0,37833.0,3,,0,0,0,0,0,0.17826337862906147,40931.0,-3098.0,-4398.0,-1300.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,0.3410299816508644,1.0,PASS_WITHIN_TOLERANCE
276579,2011-12-31,12850705.0,49433.0,7648.0,1957798.0,14665320.0,0.1335,0.13349848486088267,1858725.0,0.10602336612444148,17531277.0,2466522.0,44392.0,5632.0,38760.0,3,,0,0,1,0,1,0.19193670697444226,41785.0,-3025.0,-5041.0,-2016.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,-0.015151391173362505,1.0,PASS_WITHIN_TOLERANCE
276579,2012-03-31,12470258.0,32798.0,6143.0,1983358.0,14337661.0,0.1383,0.13833204732626891,1895182.0,0.1103191467997277,17179085.0,2323772.0,26083.0,5051.0,21032.0,3,,0,0,0,0,0,0.18634514217749143,26655.0,-5623.0,-6715.0,-1092.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,0.3204732626890805,1.0,PASS_WITHIN_TOLERANCE
276579,2012-06-30,12542546.0,27542.0,8702.0,2015231.0,14405000.0,0.1399,0.13989802152030545,1913607.0,0.1078163284347398,17748768.0,2413946.0,23715.0,7453.0,16262.0,3,,0,0,0,0,0,0.1924606056856399,18840.0,-2578.0,-3827.0,-1249.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,-0.019784796945476746,1.0,PASS_WITHIN_TOLERANCE
276579,2012-09-30,12688582.0,23107.0,3840.0,1942050.0,14523632.0,0.1337,0.13371655244363118,1877991.0,0.10914420075376113,17206512.0,2639924.0,20495.0,2817.0,17678.0,3,,0,0,0,0,0,0.20805508448461774,19267.0,-1589.0,-2612.0,-1023.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,0.16552443631162594,1.0,PASS_WITHIN_TOLERANCE
276579,2012-12-31,12593543.0,17126.0,7457.0,1870775.0,14367408.0,0.1302,0.13020963837040056,1799401.0,0.10035631099686265,17930123.0,2707737.0,13035.0,4988.0,8047.0,3,,0,0,0,0,0,0.21500994596993078,9669.0,-1622.0,-4091.0,-2469.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,0.09638370400549823,1.0,PASS_WITHIN_TOLERANCE
276579,2013-03-31,12446662.0,14540.0,6711.0,1856077.0,14107745.0,0.1316,0.13156439955499621,1807259.0,0.1072708595153156,16847623.0,2762166.0,12276.0,5165.0,7111.0,3,,0,0,0,0,0,0.22192022246607163,7829.0,-718.0,-2264.0,-1546.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,-0.3560044500378057,1.0,PASS_WITHIN_TOLERANCE
276579,2013-06-30,12432204.0,14814.0,12042.0,1843532.0,14027585.0,0.1314,0.13142190904564113,1789956.0,0.09859036003826281,18155487.0,10460811.0,12818.0,10303.0,2515.0,3,,0,0,0,0,0,0.8414285190300931,2772.0,-257.0,-1996.0,-1739.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,0.21909045641144154,1.0,PASS_WITHIN_TOLERANCE
276579,2013-09-30,12330216.0,10262.0,3500.0,1847408.0,13888798.0,0.133,0.13301424644522875,1793905.0,0.09933260348981557,18059579.0,10355754.0,8566.0,2706.0,5860.0,3,,0,0,0,0,0,0.8398680120445579,6762.0,-902.0,-1696.0,-794.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,0.14246445228738303,1.0,PASS_WITHIN_TOLERANCE
276579,2013-12-31,12372643.0,7112.0,4772.0,1840221.0,13763049.0,0.1337,0.13370736382614057,1803178.0,0.09699494358200264,18590433.0,10419249.0,5103.0,3560.0,1543.0,3,,0,0,0,0,0,0.8421199092223061,2340.0,-797.0,-2009.0,-1212.0,50.0,False,False,PASS_SUBSET_GROSS_FLOWS,0.07363826140555085,1.0,PASS_WITHIN_TOLERANCE
