window,segment,term,estimate,clustered_se,ci95_low,ci95_high,nobs,entities,matrix_rank,matrix_columns,condition_number,recursive_stable_if_lag
3,CI,lagged_noncurrent_ratio,0.10473975093719753,0.048440257823605455,0.009796845602930843,0.19968265627146423,1489,32,9,9,576.4237088114182,
3,CI,lagged_allowance_coverage,-1.6703974809671415e-05,2.3025949733142442e-05,-6.18348362866306e-05,2.8426886667287767e-05,1489,32,9,9,576.4237088114182,
3,CI,lagged_loan_growth,-0.0031013455627112462,0.019676445637126467,-0.04166717901147912,0.035464487886056634,1489,32,9,9,576.4237088114182,
3,CI,lagged_tier1_ratio,-0.029992362638765334,0.026867452608257097,-0.08265256975094924,0.022667844473418575,1489,32,9,9,576.4237088114182,
3,CI,lagged_gdp_growth,0.0007049596624445957,0.0006229627558733022,-0.0005160473390670767,0.001925966663956268,1489,32,9,9,576.4237088114182,
3,CI,lagged_bbb_spread,0.004127623960831629,0.0007182502846132801,0.0027198534029896,0.005535394518673659,1489,32,9,9,576.4237088114182,
3,CI,lagged_unemployment_rate,0.0005649426201618384,0.0002933207201108563,-9.965991255440052e-06,0.0011398512315791169,1489,32,9,9,576.4237088114182,
3,CI,lagged_short_rate,0.0013736570526186544,0.0002485435753504996,0.0008865116449316751,0.0018608024603056336,1489,32,9,9,576.4237088114182,
4,CRE,lagged_nco_rate,0.17211925168350467,0.1145173036156434,-0.05233466340315637,0.39657316677016574,1268,33,9,9,1181.2976020944632,True
4,CRE,lagged_noncurrent_ratio,0.08670254771408,0.08122026794248922,-0.07248917745319887,0.24589427288135884,1268,33,9,9,1181.2976020944632,
4,CRE,lagged_allowance_coverage,-1.0864147007257217e-05,1.6286751584396867e-05,-4.278618011267508e-05,2.105788609816064e-05,1268,33,9,9,1181.2976020944632,
4,CRE,lagged_loan_growth,-0.00617091525320356,0.0061959418527028284,-0.0183149612845011,0.0059731307780939834,1268,33,9,9,1181.2976020944632,
4,CRE,lagged_tier1_ratio,-0.0030411437480040346,0.006648047510412169,-0.016071316868411886,0.009989029372403816,1268,33,9,9,1181.2976020944632,
4,CRE,lagged_cre_price_growth,-0.00011374321187108334,4.131756076677262e-05,-0.00019472563097395768,-3.276079276820901e-05,1268,33,9,9,1181.2976020944632,
