bank_id,event_date,event_type,source,notes
3138146,2013-12-31,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
3138146,2013-05-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
3138146,2015-06-30,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
3303298,2007-09-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
3303298,2022-04-07,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
3303298,2019-01-02,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
339858,2011-01-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
339858,2012-01-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
339858,2019-03-25,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
339858,2017-02-17,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
339858,2014-03-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
379920,2013-04-06,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
379920,2013-10-12,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
379920,2012-01-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
379920,2017-03-11,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
379920,2016-02-13,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
379920,2022-02-05,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
379920,2006-05-26,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
379920,2008-04-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
379920,2008-08-15,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
379920,2022-12-12,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
379920,2014-02-15,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
379920,2005-02-18,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
379920,2011-01-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
379920,2014-09-19,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
379920,2014-09-18,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
379920,2005-10-07,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
395238,2010-06-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
395238,2019-01-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
395238,2010-06-30,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
395238,2013-05-10,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
395238,2017-09-26,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
413208,2005-03-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
413208,2008-12-20,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
485559,2017-11-30,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
485559,2020-07-02,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
485559,2013-06-07,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
485559,2015-10-17,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
485559,2007-08-31,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
485559,2005-08-26,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
485559,2005-12-15,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
485559,2005-07-22,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
485559,2006-07-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
491224,2017-05-05,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
491224,2011-01-07,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
491224,2015-01-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
491224,2009-07-17,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
491224,2022-01-04,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
491224,2018-11-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
491224,2006-06-15,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
491224,2018-04-30,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
491224,2019-12-31,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
491224,2015-02-13,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
491224,2023-03-26,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
491224,2010-03-05,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
491224,2009-09-11,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
491224,2019-05-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
491224,2011-07-08,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
491224,2011-01-21,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
491224,2020-02-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
491224,2010-01-29,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
491224,2019-04-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
491224,2016-09-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
491224,2014-01-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
491224,2017-01-13,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
491224,2018-10-02,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
491224,2016-05-06,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
491224,2016-03-11,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
501105,2022-04-02,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
501105,2015-11-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
501105,2009-05-23,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
501105,2007-11-30,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
501105,2009-08-28,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
501105,2010-11-05,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
