bank_id,cert,bank_name,reason,specialized_business_flag,specialized_review_status,specialized_review_period,primary_source,primary_source_url,evidence_summary,source,reviewed_at
782306,17798,BEACON BANK&TRUST,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
790105,33686,BANK HAPOALIM B M,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
795968,18053,BANK OF HAWAII,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
814430,20234,CITY NB OF FLORIDA,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
853952,12633,CENTRAL TRUST BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
85472,28359,OCEANFIRST BANK NA,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
871769,1225,FARMERS&MERCHANTS BK LONG BE,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
908508,33653,BANK OF CHINA,insufficient_report_history,0,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
909000,33681,BANK OF BARODA,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
915878,30012,THIRD FS&LA OF CLEVELAND,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
917742,5296,ASSOCIATED BANK NA,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
918918,26876,SAFRA NB OF NEW YORK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
929352,19581,BELL BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
933966,21716,CITIZENS BUSINESS BANK NA,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
934329,7946,BNY MELLON NATIONAL ASSN,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
936462,1768,MECHANICS BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
95716,33682,STATE BANK OF INDIA,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
961624,32245,DOLLAR BANK FSB,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
963945,8056,MERCHANTS BANK OF INDIANA,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
980661,17985,FIRST HAWAIIAN BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
