bank_id,bank_name,scenario,scenario_type,model,formal_use,segment,cumulative_loss_thousands,cumulative_loss_thousands_unfloored,starting_tier1_thousands,exposure_thousands,modeled_credit_loss_burden,modeled_credit_loss_burden_unfloored
1929247,SOUTHSTATE BANK NA,researcher_cre_only,Researcher partial-shock sensitivity,ar_mean,FORMAL_BASELINE,CRE,118816.34653536408,118816.34653536408,6496379.0,26757495.0,0.018289626657460114,0.018289626657460114
1929247,SOUTHSTATE BANK NA,researcher_cre_only,Researcher partial-shock sensitivity,dynamic_fe,LIMITED_CHALLENGER,CI,10437.060232705437,6167.681611439487,6496379.0,7030269.0,0.0016065965721374072,0.0009494029845610127
1929247,SOUTHSTATE BANK NA,researcher_high_for_longer_rates,Researcher partial-shock sensitivity,ar_mean,FORMAL_BASELINE,CI,63875.316556728205,63875.316556728205,6496379.0,7030269.0,0.009832449208509573,0.009832449208509573
1929247,SOUTHSTATE BANK NA,researcher_high_for_longer_rates,Researcher partial-shock sensitivity,ar_mean,FORMAL_BASELINE,CRE,118816.34653536408,118816.34653536408,6496379.0,26757495.0,0.018289626657460114,0.018289626657460114
1929247,SOUTHSTATE BANK NA,researcher_high_for_longer_rates,Researcher partial-shock sensitivity,dynamic_fe,LIMITED_CHALLENGER,CI,13738.164331228743,13482.250680955012,6496379.0,7030269.0,0.0021147418171305497,0.0020753485412342803
1929247,SOUTHSTATE BANK NA,researcher_lambda_0.5,Researcher sensitivity scenario,ar_mean,FORMAL_BASELINE,CI,63875.316556728205,63875.316556728205,6496379.0,7030269.0,0.009832449208509573,0.009832449208509573
1929247,SOUTHSTATE BANK NA,researcher_lambda_0.5,Researcher sensitivity scenario,ar_mean,FORMAL_BASELINE,CRE,118816.34653536408,118816.34653536408,6496379.0,26757495.0,0.018289626657460114,0.018289626657460114
1929247,SOUTHSTATE BANK NA,researcher_lambda_0.5,Researcher sensitivity scenario,dynamic_fe,LIMITED_CHALLENGER,CI,86795.16426717959,86795.16426717959,6496379.0,7030269.0,0.013360545046275716,0.013360545046275716
1929247,SOUTHSTATE BANK NA,researcher_lambda_1,Researcher sensitivity scenario,ar_mean,FORMAL_BASELINE,CI,63875.316556728205,63875.316556728205,6496379.0,7030269.0,0.009832449208509573,0.009832449208509573
1929247,SOUTHSTATE BANK NA,researcher_lambda_1,Researcher sensitivity scenario,ar_mean,FORMAL_BASELINE,CRE,118816.34653536408,118816.34653536408,6496379.0,26757495.0,0.018289626657460114,0.018289626657460114
1929247,SOUTHSTATE BANK NA,researcher_lambda_1,Researcher sensitivity scenario,dynamic_fe,LIMITED_CHALLENGER,CI,167411.94629841833,167411.94629841833,6496379.0,7030269.0,0.025770039940468118,0.025770039940468118
1929247,SOUTHSTATE BANK NA,researcher_lambda_1.25,Researcher sensitivity scenario,ar_mean,FORMAL_BASELINE,CI,63875.316556728205,63875.316556728205,6496379.0,7030269.0,0.009832449208509573,0.009832449208509573
1929247,SOUTHSTATE BANK NA,researcher_lambda_1.25,Researcher sensitivity scenario,ar_mean,FORMAL_BASELINE,CRE,118816.34653536408,118816.34653536408,6496379.0,26757495.0,0.018289626657460114,0.018289626657460114
1929247,SOUTHSTATE BANK NA,researcher_lambda_1.25,Researcher sensitivity scenario,dynamic_fe,LIMITED_CHALLENGER,CI,207716.13822344982,207716.13822344982,6496379.0,7030269.0,0.031974141013547674,0.031974141013547674
1929247,SOUTHSTATE BANK NA,researcher_unemployment_only,Researcher partial-shock sensitivity,ar_mean,FORMAL_BASELINE,CI,63875.316556728205,63875.316556728205,6496379.0,7030269.0,0.009832449208509573,0.009832449208509573
1929247,SOUTHSTATE BANK NA,researcher_unemployment_only,Researcher partial-shock sensitivity,ar_mean,FORMAL_BASELINE,CRE,118816.34653536408,118816.34653536408,6496379.0,26757495.0,0.018289626657460114,0.018289626657460114
1929247,SOUTHSTATE BANK NA,researcher_unemployment_only,Researcher partial-shock sensitivity,dynamic_fe,LIMITED_CHALLENGER,CI,20355.825251900595,20355.825251900595,6496379.0,7030269.0,0.003133410974313628,0.003133410974313628
1929247,SOUTHSTATE BANK NA,severely_adverse,Fed official,ar_mean,FORMAL_BASELINE,CI,63875.316556728205,63875.316556728205,6496379.0,7030269.0,0.009832449208509573,0.009832449208509573
1929247,SOUTHSTATE BANK NA,severely_adverse,Fed official,ar_mean,FORMAL_BASELINE,CRE,118816.34653536408,118816.34653536408,6496379.0,26757495.0,0.018289626657460114,0.018289626657460114
1929247,SOUTHSTATE BANK NA,severely_adverse,Fed official,dynamic_fe,LIMITED_CHALLENGER,CI,167411.94629841833,167411.94629841833,6496379.0,7030269.0,0.025770039940468118,0.025770039940468118
197478,EAST WEST BANK,baseline,Fed official,ar_mean,FORMAL_BASELINE,CI,156601.50701613145,156601.50701613145,7973536.0,9975903.0,0.01964015801974575,0.01964015801974575
197478,EAST WEST BANK,baseline,Fed official,ar_mean,FORMAL_BASELINE,CRE,12903.079744220784,12903.079744220784,7973536.0,21277817.0,0.0016182380996612774,0.0016182380996612774
197478,EAST WEST BANK,baseline,Fed official,dynamic_fe,LIMITED_CHALLENGER,CI,67893.70449318275,67893.70449318275,7973536.0,9975903.0,0.008514880285632718,0.008514880285632718
197478,EAST WEST BANK,researcher_cre_only,Researcher partial-shock sensitivity,ar_mean,FORMAL_BASELINE,CI,156601.50701613145,156601.50701613145,7973536.0,9975903.0,0.01964015801974575,0.01964015801974575
197478,EAST WEST BANK,researcher_cre_only,Researcher partial-shock sensitivity,ar_mean,FORMAL_BASELINE,CRE,12903.079744220784,12903.079744220784,7973536.0,21277817.0,0.0016182380996612774,0.0016182380996612774
197478,EAST WEST BANK,researcher_cre_only,Researcher partial-shock sensitivity,dynamic_fe,LIMITED_CHALLENGER,CI,67893.70449318275,67893.70449318275,7973536.0,9975903.0,0.008514880285632718,0.008514880285632718
197478,EAST WEST BANK,researcher_high_for_longer_rates,Researcher partial-shock sensitivity,ar_mean,FORMAL_BASELINE,CI,156601.50701613145,156601.50701613145,7973536.0,9975903.0,0.01964015801974575,0.01964015801974575
197478,EAST WEST BANK,researcher_high_for_longer_rates,Researcher partial-shock sensitivity,ar_mean,FORMAL_BASELINE,CRE,12903.079744220784,12903.079744220784,7973536.0,21277817.0,0.0016182380996612774,0.0016182380996612774
197478,EAST WEST BANK,researcher_high_for_longer_rates,Researcher partial-shock sensitivity,dynamic_fe,LIMITED_CHALLENGER,CI,78273.02732198023,78273.02732198023,7973536.0,9975903.0,0.009816601733782883,0.009816601733782883
197478,EAST WEST BANK,researcher_lambda_0.5,Researcher sensitivity scenario,ar_mean,FORMAL_BASELINE,CI,156601.50701613145,156601.50701613145,7973536.0,9975903.0,0.01964015801974575,0.01964015801974575
197478,EAST WEST BANK,researcher_lambda_0.5,Researcher sensitivity scenario,ar_mean,FORMAL_BASELINE,CRE,12903.079744220784,12903.079744220784,7973536.0,21277817.0,0.0016182380996612774,0.0016182380996612774
197478,EAST WEST BANK,researcher_lambda_0.5,Researcher sensitivity scenario,dynamic_fe,LIMITED_CHALLENGER,CI,182303.5437337361,182303.5437337361,7973536.0,9975903.0,0.02286357567505008,0.02286357567505008
197478,EAST WEST BANK,researcher_lambda_1,Researcher sensitivity scenario,ar_mean,FORMAL_BASELINE,CI,156601.50701613145,156601.50701613145,7973536.0,9975903.0,0.01964015801974575,0.01964015801974575
197478,EAST WEST BANK,researcher_lambda_1,Researcher sensitivity scenario,ar_mean,FORMAL_BASELINE,CRE,12903.079744220784,12903.079744220784,7973536.0,21277817.0,0.0016182380996612774,0.0016182380996612774
197478,EAST WEST BANK,researcher_lambda_1,Researcher sensitivity scenario,dynamic_fe,LIMITED_CHALLENGER,CI,296698.198862264,296698.198862264,7973536.0,9975903.0,0.03721036675099529,0.03721036675099529
197478,EAST WEST BANK,researcher_lambda_1.25,Researcher sensitivity scenario,ar_mean,FORMAL_BASELINE,CI,156601.50701613145,156601.50701613145,7973536.0,9975903.0,0.01964015801974575,0.01964015801974575
197478,EAST WEST BANK,researcher_lambda_1.25,Researcher sensitivity scenario,ar_mean,FORMAL_BASELINE,CRE,12903.079744220784,12903.079744220784,7973536.0,21277817.0,0.0016182380996612774,0.0016182380996612774
197478,EAST WEST BANK,researcher_lambda_1.25,Researcher sensitivity scenario,dynamic_fe,LIMITED_CHALLENGER,CI,353889.56794607814,353889.56794607814,7973536.0,9975903.0,0.0443830150069026,0.0443830150069026
197478,EAST WEST BANK,researcher_unemployment_only,Researcher partial-shock sensitivity,ar_mean,FORMAL_BASELINE,CI,156601.50701613145,156601.50701613145,7973536.0,9975903.0,0.01964015801974575,0.01964015801974575
197478,EAST WEST BANK,researcher_unemployment_only,Researcher partial-shock sensitivity,ar_mean,FORMAL_BASELINE,CRE,12903.079744220784,12903.079744220784,7973536.0,21277817.0,0.0016182380996612774,0.0016182380996612774
197478,EAST WEST BANK,researcher_unemployment_only,Researcher partial-shock sensitivity,dynamic_fe,LIMITED_CHALLENGER,CI,88026.58201284906,88026.58201284906,7973536.0,9975903.0,0.01103984255076406,0.01103984255076406
197478,EAST WEST BANK,severely_adverse,Fed official,ar_mean,FORMAL_BASELINE,CI,156601.50701613145,156601.50701613145,7973536.0,9975903.0,0.01964015801974575,0.01964015801974575
197478,EAST WEST BANK,severely_adverse,Fed official,ar_mean,FORMAL_BASELINE,CRE,12903.079744220784,12903.079744220784,7973536.0,21277817.0,0.0016182380996612774,0.0016182380996612774
197478,EAST WEST BANK,severely_adverse,Fed official,dynamic_fe,LIMITED_CHALLENGER,CI,296698.198862264,296698.198862264,7973536.0,9975903.0,0.03721036675099529,0.03721036675099529
208244,OLD NATIONAL BANK,baseline,Fed official,ar_mean,FORMAL_BASELINE,CI,130843.03805892072,130843.03805892072,5899410.0,10728457.0,0.022179004012082688,0.022179004012082688
208244,OLD NATIONAL BANK,baseline,Fed official,ar_mean,FORMAL_BASELINE,CRE,20240.059655474437,20240.059655474437,5899410.0,22476599.0,0.0034308616718408177,0.0034308616718408177
208244,OLD NATIONAL BANK,baseline,Fed official,dynamic_fe,LIMITED_CHALLENGER,CI,52659.26413857236,52659.26413857236,5899410.0,10728457.0,0.008926191625700259,0.008926191625700259
208244,OLD NATIONAL BANK,researcher_cre_only,Researcher partial-shock sensitivity,ar_mean,FORMAL_BASELINE,CI,130843.03805892072,130843.03805892072,5899410.0,10728457.0,0.022179004012082688,0.022179004012082688
208244,OLD NATIONAL BANK,researcher_cre_only,Researcher partial-shock sensitivity,ar_mean,FORMAL_BASELINE,CRE,20240.059655474437,20240.059655474437,5899410.0,22476599.0,0.0034308616718408177,0.0034308616718408177
208244,OLD NATIONAL BANK,researcher_cre_only,Researcher partial-shock sensitivity,dynamic_fe,LIMITED_CHALLENGER,CI,52659.26413857236,52659.26413857236,5899410.0,10728457.0,0.008926191625700259,0.008926191625700259
208244,OLD NATIONAL BANK,researcher_high_for_longer_rates,Researcher partial-shock sensitivity,ar_mean,FORMAL_BASELINE,CI,130843.03805892072,130843.03805892072,5899410.0,10728457.0,0.022179004012082688,0.022179004012082688
208244,OLD NATIONAL BANK,researcher_high_for_longer_rates,Researcher partial-shock sensitivity,ar_mean,FORMAL_BASELINE,CRE,20240.059655474437,20240.059655474437,5899410.0,22476599.0,0.0034308616718408177,0.0034308616718408177
208244,OLD NATIONAL BANK,researcher_high_for_longer_rates,Researcher partial-shock sensitivity,dynamic_fe,LIMITED_CHALLENGER,CI,63821.573822003724,63821.573822003724,5899410.0,10728457.0,0.010818297731807711,0.010818297731807711
208244,OLD NATIONAL BANK,researcher_lambda_0.5,Researcher sensitivity scenario,ar_mean,FORMAL_BASELINE,CI,130843.03805892072,130843.03805892072,5899410.0,10728457.0,0.022179004012082688,0.022179004012082688
208244,OLD NATIONAL BANK,researcher_lambda_0.5,Researcher sensitivity scenario,ar_mean,FORMAL_BASELINE,CRE,20240.059655474437,20240.059655474437,5899410.0,22476599.0,0.0034308616718408177,0.0034308616718408177
208244,OLD NATIONAL BANK,researcher_lambda_0.5,Researcher sensitivity scenario,dynamic_fe,LIMITED_CHALLENGER,CI,175699.85912723545,175699.85912723545,5899410.0,10728457.0,0.029782615401749573,0.029782615401749573
208244,OLD NATIONAL BANK,researcher_lambda_1,Researcher sensitivity scenario,ar_mean,FORMAL_BASELINE,CI,130843.03805892072,130843.03805892072,5899410.0,10728457.0,0.022179004012082688,0.022179004012082688
208244,OLD NATIONAL BANK,researcher_lambda_1,Researcher sensitivity scenario,ar_mean,FORMAL_BASELINE,CRE,20240.059655474437,20240.059655474437,5899410.0,22476599.0,0.0034308616718408177,0.0034308616718408177
208244,OLD NATIONAL BANK,researcher_lambda_1,Researcher sensitivity scenario,dynamic_fe,LIMITED_CHALLENGER,CI,298724.12455726624,298724.12455726624,5899410.0,10728457.0,0.050636271179196946,0.050636271179196946
208244,OLD NATIONAL BANK,researcher_lambda_1.25,Researcher sensitivity scenario,ar_mean,FORMAL_BASELINE,CI,130843.03805892072,130843.03805892072,5899410.0,10728457.0,0.022179004012082688,0.022179004012082688
208244,OLD NATIONAL BANK,researcher_lambda_1.25,Researcher sensitivity scenario,ar_mean,FORMAL_BASELINE,CRE,20240.059655474437,20240.059655474437,5899410.0,22476599.0,0.0034308616718408177,0.0034308616718408177
208244,OLD NATIONAL BANK,researcher_lambda_1.25,Researcher sensitivity scenario,dynamic_fe,LIMITED_CHALLENGER,CI,360229.8493008639,360229.8493008639,5899410.0,10728457.0,0.061062012862449624,0.061062012862449624
208244,OLD NATIONAL BANK,researcher_unemployment_only,Researcher partial-shock sensitivity,ar_mean,FORMAL_BASELINE,CI,130843.03805892072,130843.03805892072,5899410.0,10728457.0,0.022179004012082688,0.022179004012082688
208244,OLD NATIONAL BANK,researcher_unemployment_only,Researcher partial-shock sensitivity,ar_mean,FORMAL_BASELINE,CRE,20240.059655474437,20240.059655474437,5899410.0,22476599.0,0.0034308616718408177,0.0034308616718408177
208244,OLD NATIONAL BANK,researcher_unemployment_only,Researcher partial-shock sensitivity,dynamic_fe,LIMITED_CHALLENGER,CI,74310.90918323713,74310.90918323713,5899410.0,10728457.0,0.01259632898598964,0.01259632898598964
208244,OLD NATIONAL BANK,severely_adverse,Fed official,ar_mean,FORMAL_BASELINE,CI,130843.03805892072,130843.03805892072,5899410.0,10728457.0,0.022179004012082688,0.022179004012082688
208244,OLD NATIONAL BANK,severely_adverse,Fed official,ar_mean,FORMAL_BASELINE,CRE,20240.059655474437,20240.059655474437,5899410.0,22476599.0,0.0034308616718408177,0.0034308616718408177
208244,OLD NATIONAL BANK,severely_adverse,Fed official,dynamic_fe,LIMITED_CHALLENGER,CI,298724.12455726624,298724.12455726624,5899410.0,10728457.0,0.050636271179196946,0.050636271179196946
229801,VALLEY NATIONAL BANK,baseline,Fed official,ar_mean,FORMAL_BASELINE,CI,82640.5256829867,82640.5256829867,6297558.0,7892049.0,0.01312263034067915,0.01312263034067915
229801,VALLEY NATIONAL BANK,baseline,Fed official,ar_mean,FORMAL_BASELINE,CRE,66634.53794642835,66634.53794642835,6297558.0,29256828.0,0.010581012187014132,0.010581012187014132
229801,VALLEY NATIONAL BANK,baseline,Fed official,dynamic_fe,LIMITED_CHALLENGER,CI,25340.970072315016,25340.970072315016,6297558.0,7892049.0,0.004023935956177778,0.004023935956177778
229801,VALLEY NATIONAL BANK,researcher_cre_only,Researcher partial-shock sensitivity,ar_mean,FORMAL_BASELINE,CI,82640.5256829867,82640.5256829867,6297558.0,7892049.0,0.01312263034067915,0.01312263034067915
229801,VALLEY NATIONAL BANK,researcher_cre_only,Researcher partial-shock sensitivity,ar_mean,FORMAL_BASELINE,CRE,66634.53794642835,66634.53794642835,6297558.0,29256828.0,0.010581012187014132,0.010581012187014132
229801,VALLEY NATIONAL BANK,researcher_cre_only,Researcher partial-shock sensitivity,dynamic_fe,LIMITED_CHALLENGER,CI,25340.970072315016,25340.970072315016,6297558.0,7892049.0,0.004023935956177778,0.004023935956177778
229801,VALLEY NATIONAL BANK,researcher_high_for_longer_rates,Researcher partial-shock sensitivity,ar_mean,FORMAL_BASELINE,CI,82640.5256829867,82640.5256829867,6297558.0,7892049.0,0.01312263034067915,0.01312263034067915
229801,VALLEY NATIONAL BANK,researcher_high_for_longer_rates,Researcher partial-shock sensitivity,ar_mean,FORMAL_BASELINE,CRE,66634.53794642835,66634.53794642835,6297558.0,29256828.0,0.010581012187014132,0.010581012187014132
