bank_id,bank_name,cre_to_tier1,cre_share,exposure,tier1_capital,cre_group,cumulative_loss_thousands,modeled_credit_loss_burden,equal_loss_rate_reference,mechanical_equal_rate_loss_thousands,mechanical_equal_rate_burden,decomposition_status
3138146,WESTERN ALLIANCE BANK,2.0448233421372786,0.25439607162286254,15846473.0,7749556.0,Mid,89800.7608306667,0.011587858818062182,0.003283905205181449,52038.31516846729,0.006715006016921136,DESCRIPTIVE_NOT_CAUSAL
3212149,UBS BANK USA,0.15556880279349675,0.01806222100981402,1601812.0,10296486.0,Low,8283.7936128328,0.0008045262833196491,0.003283905205181449,5260.198764522107,0.0005108732012574103,DESCRIPTIVE_NOT_CAUSAL
3303298,CITIZENS BANK NATIONAL ASSN,1.3156206746810148,0.19122891420791532,27557559.0,20946432.0,Low,162224.48554093763,0.007744731204862844,0.003283905205181449,90496.41144219488,0.004320373581629314,DESCRIPTIVE_NOT_CAUSAL
339858,BOKF NATIONAL ASSN,2.401010709233492,0.4334772246187243,11140949.0,4640108.0,Mid,2330.610683672152,0.000502275094388353,0.003283905205181449,36585.82041176106,0.007884691565748267,DESCRIPTIVE_NOT_CAUSAL
379920,FIRST NB OF PENNSYLVANIA,2.7795314353295884,0.344638445977294,12150541.0,4371435.0,High,77319.09915469105,0.01768734961281388,0.003283905205181449,39901.224835670604,0.009127717748444298,DESCRIPTIVE_NOT_CAUSAL
395238,SYNOVUS BANK,3.308804281805819,0.440369823307993,19698556.0,5953376.0,High,51366.67253779105,0.008628158634326312,0.003283905205181449,64688.19058295826,0.010865799603948794,DESCRIPTIVE_NOT_CAUSAL
413208,HSBC BANK USA NATIONAL ASSN,0.17146144037094374,0.053865981648469674,2927212.0,17072130.0,Low,20976.654259925268,0.0012287075051516869,0.003283905205181449,9612.686723469598,0.0005630631165220507,DESCRIPTIVE_NOT_CAUSAL
485559,FIRST HORIZON BANK,2.7194501614813116,0.3465696015634854,22377855.0,8228816.0,Mid,38112.79783399511,0.004631625963442992,0.003283905205181449,73486.75451529572,0.00893041654052001,DESCRIPTIVE_NOT_CAUSAL
491224,FIRST-CITIZENS BANK&TRUST CO,1.7121863484821898,0.2624303262981665,39031000.0,22796000.0,Mid,176105.59171202593,0.007725284774172045,0.003283905205181449,128174.10406343713,0.005622657662021281,DESCRIPTIVE_NOT_CAUSAL
501105,MANUFACTURERS&TRADERS TR CO,1.7300560971520962,0.243606706079704,33808431.0,19541812.0,Mid,93389.50268880442,0.004778958199413873,0.003283905205181449,111023.68253991785,0.005681340222693671,DESCRIPTIVE_NOT_CAUSAL
60143,COMERICA BANK,2.0641698751604247,0.3474196842353311,17692000.0,8571000.0,Mid,0.0,0.0,0.003283905205181449,58098.85089007019,0.00677853819741806,DESCRIPTIVE_NOT_CAUSAL
606046,CADENCE BANK,3.059351324322386,0.4116499414280103,15442498.0,5047638.0,High,28838.777935597922,0.005713321346657174,0.003283905205181449,50711.699563204114,0.010046619738421043,DESCRIPTIVE_NOT_CAUSAL
63069,CITY NATIONAL BANK,1.4996226878735526,0.2385150687699138,16428548.0,10955121.0,Low,0.0,0.0,0.003283905205181449,53949.79429077328,0.004924618750516154,DESCRIPTIVE_NOT_CAUSAL
